CNV.ID	Sample	Correlation	N.comp	Start.b	End.b	CNV.type	N.exons	Start	End	Chromosome	Genomic.ID	BF	Reads.expected	Reads.observed	Reads.ratio	Gene
40	17326	0.999237770413958	5	485	485	deletion	1	43049121	43049195	17	chr17:43049121-43049195	29.9	1609	880	0.547	BRCA1
41	17327	0.99950038062129	6	148	148	deletion	1	5973399	5973543	7	chr7:5973399-5973543	12.7	378	227	0.601	PMS2
42	17327	0.99950038062129	6	415	415	duplication	1	31095310	31095370	17	chr17:31095310-31095370	4.22	737	918	1.25	NF1
43	17329	0.999612206045596	5	334	334	duplication	1	48303913	48304050	13	chr13:48303913-48304050	11	1044	1363	1.31	RB1
44	17330	0.999525048255012	7	148	148	duplication	1	5973399	5973543	7	chr7:5973399-5973543	4.13	376	486	1.29	PMS2
45	17330	0.999525048255012	7	334	334	duplication	1	48303913	48304050	13	chr13:48303913-48304050	17	1172	1657	1.41	RB1
46	17333	0.999170714115167	7	182	182	duplication	1	86756628	86756931	10	chr10:86756628-86756931	4.73	1417	1788	1.26	BMPR1A
47	17333	0.999170714115167	7	334	334	duplication	1	48303913	48304050	13	chr13:48303913-48304050	9.2	1784	2381	1.33	RB1
48	17333	0.999170714115167	7	494	494	deletion	1	43082404	43082576	17	chr17:43082404-43082576	19.6	3089	1868	0.605	BRCA1
49	17356	0.997987336974456	1	34	34	deletion	1	241519591	241519723	1	chr1:241519591-241519723	7.18	810	572	0.706	FH
50	17356	0.997987336974456	1	35	35	deletion	1	47369506	47369582	2	chr2:47369506-47369582	4.56	63	34	0.54	EPCAM
51	17356	0.997987336974456	1	70	70	deletion	1	10141848	10142188	3	chr3:10141848-10142188	8.79	1233	851	0.69	VHL
52	17356	0.997987336974456	1	149	150	duplication	2	5977588	5978697	7	chr7:5977588-5978697	4.22	5075	5905	1.16	PMS2
53	17356	0.997987336974456	1	182	182	deletion	1	86756628	86756931	10	chr10:86756628-86756931	3.75	222	162	0.73	BMPR1A
54	17356	0.997987336974456	1	307	307	deletion	1	32315463	32315679	13	chr13:32315463-32315679	7.7	1222	865	0.708	BRCA2
55	17356	0.997987336974456	1	334	334	deletion	1	48303913	48304050	13	chr13:48303913-48304050	6.03	139	85	0.612	RB1
56	17356	0.997987336974456	1	374	374	deletion	1	68737416	68737464	16	chr16:68737416-68737464	3.37	149	107	0.718	CDH1
57	17356	0.997987336974456	1	414	414	deletion	2	17236901	31095370	17	chr17:17236901-31095370	16.3	618	401	0.649	FLCN
57	17356	0.997987336974456	1	415	415	deletion	2	17236901	31095370	17	chr17:17236901-31095370	16.3	618	401	0.649	NF1
58	17356	0.997987336974456	1	482	482	deletion	1	35119532	35119614	17	chr17:35119532-35119614	7.1	1018	727	0.714	RAD51D
59	17356	0.997987336974456	1	551	551	deletion	1	1220581	1220718	19	chr19:1220581-1220718	6.05	1108	813	0.734	STK11
60	17360	0.999534896662934	3	374	374	deletion	1	68737416	68737464	16	chr16:68737416-68737464	6.1	335	235	0.701	CDH1
61	17362	0.99816430972551	1	34	34	deletion	1	241519591	241519723	1	chr1:241519591-241519723	5.55	683	490	0.717	FH
62	17362	0.99816430972551	1	70	70	deletion	1	10141848	10142188	3	chr3:10141848-10142188	5.23	1065	781	0.733	VHL
63	17362	0.99816430972551	1	108	108	deletion	1	52409842	52409879	3	chr3:52409842-52409879	2.53	365	279	0.764	BAP1
64	17362	0.99816430972551	1	182	182	deletion	1	86756628	86756931	10	chr10:86756628-86756931	5.19	176	115	0.653	BMPR1A
65	17362	0.99816430972551	1	307	307	deletion	1	32315463	32315679	13	chr13:32315463-32315679	3.13	1068	823	0.771	BRCA2
66	17362	0.99816430972551	1	414	414	deletion	2	17236901	31095370	17	chr17:17236901-31095370	8.94	547	394	0.72	FLCN
66	17362	0.99816430972551	1	415	415	deletion	2	17236901	31095370	17	chr17:17236901-31095370	8.94	547	394	0.72	NF1
67	17362	0.99816430972551	1	482	482	deletion	1	35119532	35119614	17	chr17:35119532-35119614	8.83	823	547	0.665	RAD51D
68	17362	0.99816430972551	1	494	494	duplication	1	43082404	43082576	17	chr17:43082404-43082576	4.04	2690	3271	1.22	BRCA1
69	17362	0.99816430972551	1	551	551	deletion	1	1220581	1220718	19	chr19:1220581-1220718	5.99	913	655	0.717	STK11
70	17364	0.999528801774461	3	148	148	duplication	1	5973399	5973543	7	chr7:5973399-5973543	18.3	491	736	1.5	PMS2
71	17365	0.999324131592475	5	148	148	deletion	1	5973399	5973543	7	chr7:5973399-5973543	14.3	406	231	0.569	PMS2
72	17365	0.999324131592475	5	334	334	deletion	1	48303913	48304050	13	chr13:48303913-48304050	12.7	646	407	0.63	RB1
73	17365	0.999324131592475	5	400	400	deletion	1	7687366	7687550	17	chr17:7687366-7687550	40.1	2866	1488	0.519	TP53
74	17367	0.999598488518157	8	148	148	duplication	1	5973399	5973543	7	chr7:5973399-5973543	11.6	359	520	1.45	PMS2
75	17369	0.99880832876213	12	148	150	duplication	3	5973399	5978697	7	chr7:5973399-5978697	25.9	4553	6440	1.41	PMS2
76	17369	0.99880832876213	12	491	491	deletion	1	43070928	43071239	17	chr17:43070928-43071239	23.8	3483	1859	0.534	BRCA1
77	17370	0.999496606113354	4	334	334	deletion	1	48303913	48304050	13	chr13:48303913-48304050	16.7	438	257	0.587	RB1
78	17370	0.999496606113354	4	374	374	deletion	1	68737416	68737464	16	chr16:68737416-68737464	11.1	447	290	0.649	CDH1
79	17371	0.999602437737881	7	148	148	deletion	1	5973399	5973543	7	chr7:5973399-5973543	31	526	218	0.414	PMS2
80	17371	0.999602437737881	7	374	374	deletion	1	68737416	68737464	16	chr16:68737416-68737464	11.6	365	213	0.584	CDH1
81	17371	0.999602437737881	7	415	415	deletion	1	31095310	31095370	17	chr17:31095310-31095370	9.04	462	295	0.639	NF1
82	17371	0.999602437737881	7	487	487	deletion	1	43057052	43057136	17	chr17:43057052-43057136	21.8	1177	677	0.575	BRCA1
83	17373	0.999566221258853	15	148	148	duplication	1	5973399	5973543	7	chr7:5973399-5973543	3.45	294	384	1.31	PMS2
84	17374	0.99661829745181	5	146	146	deletion	1	177291954	177292159	5	chr5:177291954-177292159	12.7	1712	981	0.573	NSD1
85	17382	0.999457728884409	6	148	148	deletion	1	5973399	5973543	7	chr7:5973399-5973543	14.4	255	130	0.51	PMS2
86	17382	0.999457728884409	6	334	334	duplication	1	48303913	48304050	13	chr13:48303913-48304050	7.86	670	886	1.32	RB1
87	17384	0.998855166941615	4	495	495	deletion	1	43090944	43091033	17	chr17:43090944-43091033	21.6	829	504	0.608	BRCA1
88	17386	0.999173811471861	18	50	50	deletion	1	47429742	47429942	2	chr2:47429742-47429942	32.7	2186	1111	0.508	MSH2
89	17387	0.999417844839188	4	149	149	deletion	1	5977588	5977758	7	chr7:5977588-5977758	3.25	3004	2330	0.776	PMS2
90	17389	0.999558647696531	17	148	149	duplication	2	5973399	5977758	7	chr7:5973399-5977758	9.01	2439	3126	1.28	PMS2
91	17391	0.998796005315206	11	148	148	deletion	1	5973399	5973543	7	chr7:5973399-5973543	10.7	290	152	0.524	PMS2
92	17392	0.999409056982128	6	195	195	deletion	1	87864470	87864549	10	chr10:87864470-87864549	27.1	1247	730	0.585	PTEN
93	17398	0.998223434464529	10	494	494	duplication	1	43082404	43082576	17	chr17:43082404-43082576	6.34	1306	1888	1.45	BRCA1
94	17399	0.999268192522899	5	148	148	duplication	1	5973399	5973543	7	chr7:5973399-5973543	6.3	336	459	1.37	PMS2
95	17402	0.999143013610758	9	148	148	duplication	1	5973399	5973543	7	chr7:5973399-5973543	3.92	283	380	1.34	PMS2
96	17402	0.999143013610758	9	308	308	deletion	1	32316461	32316528	13	chr13:32316461-32316528	20	1388	772	0.556	BRCA2
97	17403	0.999189184291464	1	490	490	deletion	1	43067608	43067696	17	chr17:43067608-43067696	22.9	822	514	0.625	BRCA1
