Sample	Gene	Chr	Start	End	log2	CN	CNV.type	Weight
17303	MSH2	2	47482778	47482950	-0.870207	1	deletion	0.993725
17303	MSH6	2	47783233	47783494	-0.74329	1	deletion	0.941372
17303	VHL	3	10141847	10142188	-1.32651	0	deletion	0.961436
17303	BAP1	3	52406828	52406908	0.725536	4	duplication	0.960702
17303	PMS2	7	5978595	5978697	0.405964	3	duplication	0.859498
17303	BMPR1A	10	86756627	86756931	-1.1104	0	deletion	0.843256
17303	MEN1	11	64807178	64807220	-0.474306	1	deletion	0.929792
17303	MEN1	11	64810618	64810728	0.335475	3	duplication	0.981375
17303	HNF1A	12	120993519	120993707	-0.584226	1	deletion	0.782438
17303	HNF1A	12	120997473	120997666	0.334019	3	duplication	0.980007
17303	HNF1A	12	120999267	120999390	0.302248	3	duplication	0.972608
17303	BRCA2	13	32315462	32315679	-0.538591	1	deletion	0.9509
17303	PALB2	16	23624008	23624095	0.400464	3	duplication	0.979349
17303	CDH1	16	68737415	68737464	-1.22808	0	deletion	0.905493
17303	NF1	17	31095309	31095370	-1.25603	0	deletion	0.960348
17303	RAD51D	17	35119531	35119614	-0.44301	1	deletion	0.984982
17303	STK11	19	1220580	1220718	-0.678561	1	deletion	0.967814
17303	STK11	19	1227581	1228447	-0.443178	1	deletion	0.973043
17304	BAP1	3	52406828	52406908	0.409487	3	duplication	0.960627
17304	HNF1A	12	120993519	120993707	-0.502455	1	deletion	0.782389
17304	PALB2	16	23603458	23603670	-0.879937	1	deletion	0.994353
17304	NF1	17	31095309	31095370	-0.997866	1	deletion	0.960262
17304	BRCA1	17	43045677	43045803	0.359545	3	duplication	0.965855
17304	BRCA1	17	43115725	43115780	0.309219	3	duplication	0.969461
17305	HNF1A	12	120993519	120993707	-0.660105	1	deletion	0.782501
17305	HNF1A	12	120999482	120999628	-0.463805	1	deletion	0.95052
17305	BRCA2	13	32319076	32319326	-1.00857	1	deletion	0.995666
17306	MUTYH	1	45331419	45331557	-0.671571	1	deletion	0.800034
17306	PMS2	7	5977587	5977758	0.324307	3	duplication	0.884939
17306	PMS2	7	5978595	5978697	0.401358	3	duplication	0.859389
17306	HNF1A	12	120993519	120993707	-0.526511	1	deletion	0.782358
17306	RB1	13	48477354	48477405	0.357355	3	duplication	0.929277
17306	PALB2	16	23641109	23641158	0.323827	3	duplication	0.968201
17306	BRCA1	17	43057051	43057136	-0.951056	1	deletion	0.985895
17307	SDHB	1	17044760	17044889	0.36153	3	duplication	0.978943
17307	MUTYH	1	45331419	45331557	-0.56721	1	deletion	0.799282
17307	MUTYH	1	45340218	45340255	0.375442	3	duplication	0.932582
17307	EPCAM	2	47369505	47369582	0.379309	3	duplication	0.849955
17307	BMPR1A	10	86756627	86756931	0.383839	3	duplication	0.842686
17307	MEN1	11	64807178	64807220	-0.552211	1	deletion	0.928258
17307	HNF1A	12	120993519	120993707	-0.855131	1	deletion	0.781713
17307	BRCA2	13	32315462	32315679	0.359485	3	duplication	0.950226
17307	RB1	13	48477354	48477405	0.423786	3	duplication	0.92804
17307	CDH1	16	68737415	68737464	0.468588	3	duplication	0.904073
17307	TP53	17	7673700	7673838	-0.403602	1	deletion	0.971187
17307	NF1	17	31232072	31232190	0.32279	3	duplication	0.973185
17307	NF1	17	31358968	31359016	0.399883	3	duplication	0.946841
17307	SMAD4	18	51059865	51059917	0.570556	3	duplication	0.941924
17307	CHEK2	22	28711908	28712018	0.304392	3	duplication	0.97656
17307	CHEK2	22	28724976	28725125	-1.42894	0	deletion	0.970572
17307	CHEK2	22	28725242	28725368	-1.0646	1	deletion	0.989107
17307	CHEK2	22	28741757	28741856	0.33717	3	duplication	0.953335
17309	MUTYH	1	45331419	45331557	-0.414973	1	deletion	0.800444
17309	PMS2	7	5977587	5977758	0.648926	3	duplication	0.885307
17309	PMS2	7	5978595	5978697	0.774677	4	duplication	0.859865
17310	EPCAM	2	47386571	47386614	0.331688	3	duplication	0.965204
17310	NF1	17	31358968	31359016	0.315142	3	duplication	0.948335
17311	EPCAM	2	47369505	47369582	-0.567137	1	deletion	0.851298
17311	MSH6	2	47783233	47783494	-0.400732	1	deletion	0.941487
17311	VHL	3	10141847	10142188	-0.408718	1	deletion	0.961536
17311	CDH1	16	68737415	68737464	-0.744389	1	deletion	0.905757
17311	NF1	17	31095309	31095370	-0.717668	1	deletion	0.960584
17312	PMS2	7	5978595	5978697	0.32349	3	duplication	0.859634
17312	CDH1	16	68737415	68737464	-0.521111	1	deletion	0.905689
17312	RAD51C	17	58732483	58732545	0.34444	3	duplication	0.980815
17313	HNF1A	12	120993519	120993707	-0.49627	1	deletion	0.782594
17314	EPCAM	2	47369505	47369582	0.301705	3	duplication	0.850481
17314	PMS2	7	5977587	5977758	0.471364	3	duplication	0.884616
17314	PMS2	7	5978595	5978697	0.418415	3	duplication	0.858971
17314	BMPR1A	10	86756627	86756931	0.320575	3	duplication	0.842951
17314	RB1	13	48477354	48477405	0.361512	3	duplication	0.928686
17314	BRIP1	17	61863272	61863406	0.305657	3	duplication	0.967058
17315	EPCAM	2	47369505	47369582	0.609736	3	duplication	0.850177
17315	MSH6	2	47783233	47783494	0.334682	3	duplication	0.940878
17315	PMS2	7	5977587	5977758	0.439855	3	duplication	0.884412
17315	PMS2	7	5978595	5978697	0.460606	3	duplication	0.858707
17315	BMPR1A	10	86756627	86756931	0.581576	3	duplication	0.842798
17315	RB1	13	48477354	48477405	0.324803	3	duplication	0.928312
17315	CDH1	16	68737415	68737464	0.489505	3	duplication	0.904352
17315	NF1	17	31201410	31201486	0.317798	3	duplication	0.978308
17315	BRCA1	17	43045677	43045803	-0.407894	1	deletion	0.965203
17316	MSH2	2	47445547	47445658	0.701471	4	duplication	0.985914
17316	PMS2	7	5977587	5977758	0.327498	3	duplication	0.884888
17316	PMS2	7	5978595	5978697	0.420749	3	duplication	0.859324
17316	BMPR1A	10	86756627	86756931	0.535609	3	duplication	0.843155
17316	RB1	13	48347824	48347864	0.343382	3	duplication	0.96134
17316	RB1	13	48477354	48477405	0.329646	3	duplication	0.929185
17316	NF1	17	31201410	31201486	0.364741	3	duplication	0.979022
17316	NF1	17	31358968	31359016	0.360843	3	duplication	0.948021
17317	MUTYH	1	45331419	45331557	-0.598446	1	deletion	0.799883
17317	PMS2	7	6008996	6009020	0.306744	3	duplication	0.952528
17317	BMPR1A	10	86756627	86756931	0.322045	3	duplication	0.843091
17317	HNF1A	12	120993519	120993707	-0.665406	1	deletion	0.782228
17317	RB1	13	48380052	48380085	0.344614	3	duplication	0.930972
17317	CDH1	16	68737415	68737464	0.310723	3	duplication	0.905082
17317	NF1	17	31358968	31359016	0.366668	3	duplication	0.94786
17317	BRCA1	17	43115725	43115780	-0.925721	1	deletion	0.969163
17318	MSH6	2	47783233	47783494	-0.87971	1	deletion	0.94159
17318	MSH6	2	47790926	47791124	-1.04706	1	deletion	0.994221
17318	MSH6	2	47795893	47796064	-0.950968	1	deletion	0.98777
17318	MSH6	2	47798610	47801156	-1.05577	1	deletion	0.980476
17318	MSH6	2	47803419	47803686	-1.13896	0	deletion	0.977587
17318	MSH6	2	47804909	47805028	-1.07725	1	deletion	0.985717
17318	MSH6	2	47805617	47805708	-0.782594	1	deletion	0.984861
17318	MSH6	2	47806203	47806359	-1.04664	1	deletion	0.991308
17319	PMS2	7	5978595	5978697	0.410211	3	duplication	0.859753
17319	PMS2	7	5982823	5982992	0.330953	3	duplication	0.993674
17319	PMS2	7	5986758	5987621	0.51174	3	duplication	0.995539
17320	PMS2	7	5977587	5977758	0.309154	3	duplication	0.885288
17320	PMS2	7	5978595	5978697	0.404905	3	duplication	0.859842
17320	BRCA1	17	43045677	43045803	-0.831205	1	deletion	0.966224
17322	BAP1	3	52407398	52407461	0.305329	3	duplication	0.983218
17322	PMS2	7	5977587	5977758	-1.10935	0	deletion	0.884813
17322	PMS2	7	5978595	5978697	-1.09999	1	deletion	0.859227
17322	BMPR1A	10	86756627	86756931	0.349725	3	duplication	0.843099
17322	PTEN	10	87931045	87931090	-0.410765	1	deletion	0.984117
17322	HNF1A	12	120993519	120993707	-0.421315	1	deletion	0.782238
17322	HNF1A	12	120999482	120999628	-0.502475	1	deletion	0.950222
17322	BRCA2	13	32329442	32329493	-0.970084	1	deletion	0.991313
17322	BRCA2	13	32330918	32331031	-0.90522	1	deletion	0.983782
17322	BRCA2	13	32332271	32333388	-0.921962	1	deletion	0.986922
17323	SDHB	1	17018880	17018959	0.655623	3	duplication	0.984038
17323	SDHB	1	17027748	17027866	0.581964	3	duplication	0.978551
17323	SDHB	1	17053947	17054020	-0.622998	1	deletion	0.962464
17323	MUTYH	1	45331419	45331557	-0.506422	1	deletion	0.793871
17323	MUTYH	1	45331660	45331850	-0.414029	1	deletion	0.981351
17323	MUTYH	1	45340218	45340255	0.749811	4	duplication	0.922132
17323	EPCAM	2	47369505	47369582	0.529558	3	duplication	0.842712
17323	EPCAM	2	47373462	47373571	0.469699	3	duplication	0.983972
17323	EPCAM	2	47375233	47375300	0.337246	3	duplication	0.980963
17323	EPCAM	2	47377013	47377078	0.524149	3	duplication	0.972057
17323	EPCAM	2	47385165	47385211	0.526825	3	duplication	0.979525
17323	EPCAM	2	47386571	47386614	0.323658	3	duplication	0.953932
17323	MSH2	2	47408400	47408556	0.409967	3	duplication	0.988058
17323	MSH2	2	47412413	47412561	0.459485	3	duplication	0.987525
17323	MSH2	2	47414268	47414419	0.483308	3	duplication	0.971241
17323	MSH2	2	47416295	47416430	0.350911	3	duplication	0.983961
17323	VHL	3	10141847	10142188	-0.636463	1	deletion	0.957455
17323	MLH1	3	37008813	37008906	0.308097	3	duplication	0.981412
17323	MLH1	3	37017505	37017600	0.385333	3	duplication	0.984838
17323	MLH1	3	37042267	37042332	0.421005	3	duplication	0.975387
17323	MLH1	3	37048903	37049018	0.431962	3	duplication	0.978903
17323	BAP1	3	52402601	52402675	0.318523	3	duplication	0.982181
17323	BAP1	3	52402778	52402872	0.566825	3	duplication	0.983625
17323	BAP1	3	52406828	52406908	0.31772	3	duplication	0.952484
17323	BAP1	3	52409841	52409879	0.463488	3	duplication	0.959616
17323	APC	5	112754890	112755026	-0.728235	1	deletion	0.98603
17323	APC	5	112792445	112792530	0.325623	3	duplication	0.969187
17323	APC	5	112801278	112801384	-0.655862	1	deletion	0.985126
17323	APC	5	112827107	112827248	-0.418352	1	deletion	0.9713
17323	PMS2	7	5977587	5977758	0.510937	3	duplication	0.879402
17323	PMS2	7	5978595	5978697	0.924878	4	duplication	0.852221
17323	PMS2	7	5989799	5989956	0.39707	3	duplication	0.986517
17323	PMS2	7	5991972	5992058	0.45119	3	duplication	0.98022
17323	PMS2	7	5995533	5995634	0.378077	3	duplication	0.976229
17323	BMPR1A	10	86838853	86838991	0.360687	3	duplication	0.98443
17323	BMPR1A	10	86900026	86900127	0.307768	3	duplication	0.981024
17323	PTEN	10	87864469	87864549	0.44344	3	duplication	0.974806
17323	PTEN	10	87894024	87894110	-0.608922	1	deletion	0.98552
17323	PTEN	10	87931045	87931090	-0.761682	1	deletion	0.973568
17323	PTEN	10	87933012	87933252	-0.446993	1	deletion	0.990965
17323	PTEN	10	87957852	87958020	-0.436804	1	deletion	0.986084
17323	ATM	11	108227624	108227697	-0.636747	1	deletion	0.977034
17323	ATM	11	108251836	108252032	-0.681383	1	deletion	0.986008
17323	ATM	11	108258985	108259076	0.320417	3	duplication	0.980483
17323	ATM	11	108271063	108271147	0.323937	3	duplication	0.985378
17323	ATM	11	108299713	108299886	-0.484904	1	deletion	0.972299
17323	ATM	11	108301647	108301790	-0.701586	1	deletion	0.985767
17323	ATM	11	108315822	108315912	0.376758	3	duplication	0.979382
17323	ATM	11	108334968	108335110	-0.417609	1	deletion	0.982982
17323	ATM	11	108335844	108335962	-0.428857	1	deletion	0.981337
17323	ATM	11	108343221	108343372	-0.676529	1	deletion	0.984589
17323	ATM	11	108347278	108347366	-0.943622	1	deletion	0.987497
17323	SDHD	11	112086907	112086960	-1.06282	1	deletion	0.937951
17323	SDHD	11	112088866	112089012	-0.447618	1	deletion	0.981351
17323	SDHD	11	112094804	112094971	-0.490445	1	deletion	0.984947
17323	BRCA2	13	32315462	32315679	-0.452417	1	deletion	0.945911
17323	BRCA2	13	32316460	32316528	0.475535	3	duplication	0.97989
17323	BRCA2	13	32326241	32326283	0.41026	3	duplication	0.980301
17323	BRCA2	13	32380006	32380146	0.4371	3	duplication	0.978289
17323	RB1	13	48342598	48342715	-0.560082	1	deletion	0.979729
17323	RB1	13	48345079	48345200	-0.592885	1	deletion	0.982811
17323	RB1	13	48360016	48360128	-0.866695	1	deletion	0.988611
17323	RB1	13	48373404	48373493	-0.62898	1	deletion	0.983227
17323	RB1	13	48379593	48379651	0.411021	3	duplication	0.961767
17323	RB1	13	48380052	48380085	0.540198	3	duplication	0.918678
17323	RB1	13	48380164	48380242	0.305964	3	duplication	0.943832
17323	RB1	13	48456203	48456350	0.366537	3	duplication	0.977164
17323	PALB2	16	23624008	23624095	0.756138	4	duplication	0.971469
17323	CDH1	16	68737415	68737464	0.750827	4	duplication	0.894993
17323	TP53	17	7669608	7669691	0.333365	3	duplication	0.980514
17323	TP53	17	7670608	7670716	-0.408082	1	deletion	0.961316
17323	TP53	17	7676381	7676404	0.334978	3	duplication	0.968426
17323	FLCN	17	17214984	17215091	0.305406	3	duplication	0.984555
17323	NF1	17	31169890	31169998	-0.48291	1	deletion	0.968386
17323	NF1	17	31201036	31201160	-0.422547	1	deletion	0.988011
17323	NF1	17	31206239	31206372	-0.622582	1	deletion	0.980565
17323	NF1	17	31214450	31214586	-0.636384	1	deletion	0.97765
17323	NF1	17	31223443	31223568	-0.546864	1	deletion	0.981834
17323	NF1	17	31225094	31225251	-0.539433	1	deletion	0.987934
17323	NF1	17	31227217	31227292	-0.696923	1	deletion	0.98448
17323	NF1	17	31229024	31229466	-0.446747	1	deletion	0.976304
17323	NF1	17	31229834	31229975	-0.402617	1	deletion	0.969534
17323	NF1	17	31232072	31232190	0.439788	3	duplication	0.967333
17323	NF1	17	31336332	31336474	-0.526067	1	deletion	0.981847
17323	NF1	17	31337367	31337583	-0.590629	1	deletion	0.988122
17323	NF1	17	31337818	31337881	-0.504288	1	deletion	0.981979
17323	NF1	17	31338703	31338806	-0.429989	1	deletion	0.985565
17323	NF1	17	31358968	31359016	0.306542	3	duplication	0.937667
17323	NF1	17	31374012	31374156	-0.447963	1	deletion	0.975065
17323	RAD51D	17	35101200	35101366	-0.590672	1	deletion	0.972615
17323	RAD51D	17	35103253	35103325	-0.612348	1	deletion	0.976548
17323	RAD51D	17	35106385	35106482	-0.454303	1	deletion	0.98079
17323	RAD51D	17	35119110	35119173	0.337942	3	duplication	0.977458
17323	BRCA1	17	43045677	43045803	0.441098	3	duplication	0.959367
17323	BRCA1	17	43049120	43049195	0.331705	3	duplication	0.975495
17323	BRCA1	17	43057051	43057136	0.428843	3	duplication	0.978042
17323	BRCA1	17	43063873	43063952	0.466619	3	duplication	0.980899
17323	BRCA1	17	43097243	43097290	0.456611	3	duplication	0.970629
17323	BRCA1	17	43099774	43099881	0.323416	3	duplication	0.976997
17323	BRCA1	17	43104867	43104957	0.458048	3	duplication	0.981885
17323	BRCA1	17	43115725	43115780	0.326942	3	duplication	0.95964
17323	BRCA1	17	43124016	43124097	0.343032	3	duplication	0.978009
17323	RAD51C	17	58720745	58720813	0.531622	3	duplication	0.969698
17323	RAD51C	17	58732483	58732545	0.322488	3	duplication	0.971306
17323	BRIP1	17	61793596	61793730	-0.434406	1	deletion	0.989624
17323	BRIP1	17	61799099	61799300	-0.544626	1	deletion	0.985912
17323	BRIP1	17	61801252	61801475	-0.508929	1	deletion	0.98682
17323	BRIP1	17	61808466	61808758	-0.601482	1	deletion	0.984888
17323	SMAD4	18	51076637	51076777	-0.534336	1	deletion	0.975296
17323	STK11	19	1218416	1218501	0.316044	3	duplication	0.968381
17323	STK11	19	1219323	1219414	0.353558	3	duplication	0.963622
17323	STK11	19	1221212	1221341	0.363882	3	duplication	0.981412
17323	STK11	19	1221948	1222007	0.322569	3	duplication	0.970946
17323	POLD1_S478N	19	50406444	50406468	0.345753	3	duplication	0.964734
17323	CHEK2	22	28689134	28689216	0.474903	3	duplication	0.972002
17323	CHEK2	22	28703504	28703567	0.565452	3	duplication	0.980065
17323	CHEK2	22	28710005	28710060	0.359614	3	duplication	0.975929
17323	CHEK2	22	28719394	28719486	0.392401	3	duplication	0.982674
17324	MUTYH	1	45331419	45331557	-0.490849	1	deletion	0.797424
17324	EPCAM	2	47369505	47369582	0.497781	3	duplication	0.847468
17324	EPCAM	2	47377013	47377078	0.409192	3	duplication	0.977234
17324	MSH2	2	47414268	47414419	0.329921	3	duplication	0.974637
17324	MSH2	2	47470964	47471063	0.313418	3	duplication	0.972819
17324	MSH6	2	47805617	47805708	0.336963	3	duplication	0.981162
17324	APC	5	112754890	112755026	-0.466142	1	deletion	0.989609
17324	APC	5	112801278	112801384	-0.527369	1	deletion	0.98918
17324	PMS2	7	5989799	5989956	0.314083	3	duplication	0.989847
17324	PMS2	7	6008996	6009020	0.316751	3	duplication	0.946632
17324	BMPR1A	10	86756627	86756931	0.529991	3	duplication	0.841434
17324	PTEN	10	87925512	87925558	-0.740504	1	deletion	0.969585
17324	PTEN	10	87931045	87931090	-1.38476	0	deletion	0.97979
17324	PTEN	10	87933012	87933252	-0.52946	1	deletion	0.993659
17324	ATM	11	108251836	108252032	-0.40468	1	deletion	0.988989
17324	ATM	11	108301647	108301790	-0.530673	1	deletion	0.989257
17324	ATM	11	108302852	108303030	-0.451514	1	deletion	0.991695
17324	ATM	11	108310159	108310316	-0.53023	1	deletion	0.987461
17324	ATM	11	108347278	108347366	-0.44746	1	deletion	0.991946
17324	HNF1A	12	120993519	120993707	-0.664119	1	deletion	0.780121
17324	BRCA2	13	32316460	32316528	0.365578	3	duplication	0.984951
17324	BRCA2	13	32344557	32344654	-0.445692	1	deletion	0.990388
17324	BRCA2	13	32346826	32346897	-0.641703	1	deletion	0.987579
17324	BRCA2	13	32379316	32379516	-0.448919	1	deletion	0.940855
17324	RB1	13	48347824	48347864	-0.485516	1	deletion	0.956596
17324	RB1	13	48348955	48349024	-0.471871	1	deletion	0.967316
17324	RB1	13	48360016	48360128	-0.650302	1	deletion	0.992555
17324	RB1	13	48379593	48379651	0.512404	3	duplication	0.967248
17324	RB1	13	48380164	48380242	0.329857	3	duplication	0.948558
17324	PALB2	16	23629203	23629276	0.313455	3	duplication	0.984374
17324	TP53	17	7669608	7669691	-0.705232	1	deletion	0.985095
17324	TP53	17	7670608	7670716	-1.31024	0	deletion	0.965332
17324	TP53	17	7673534	7673609	-0.803874	1	deletion	0.987194
17324	TP53	17	7673700	7673838	-1.27348	0	deletion	0.969329
17324	TP53	17	7674180	7674291	-1.04092	1	deletion	0.984991
17324	TP53	17	7674858	7674972	-0.912351	1	deletion	0.985693
17324	TP53	17	7675052	7675237	-1.2836	0	deletion	0.976735
17324	TP53	17	7675993	7676273	-0.919305	1	deletion	0.993519
17324	TP53	17	7676381	7676404	-0.689369	1	deletion	0.977128
17324	TP53	17	7676520	7676595	-0.872028	1	deletion	0.970452
17324	TP53	17	7687365	7687550	-0.978929	1	deletion	0.986977
17324	NF1	17	31169890	31169998	-0.460457	1	deletion	0.972402
17324	NF1	17	31206239	31206372	-0.815909	1	deletion	0.984184
17324	NF1	17	31221849	31221930	-0.514013	1	deletion	0.980274
17324	NF1	17	31223443	31223568	-0.511401	1	deletion	0.985567
17324	NF1	17	31230259	31230383	-0.400098	1	deletion	0.98446
17324	NF1	17	31338024	31338140	-0.52709	1	deletion	0.976464
17324	NF1	17	31338703	31338806	-0.599446	1	deletion	0.989677
17324	RAD51D	17	35119110	35119173	0.303345	3	duplication	0.982716
17324	RAD51C	17	58720745	58720813	0.339875	3	duplication	0.974759
17324	RAD51C	17	58732483	58732545	0.302351	3	duplication	0.976606
17324	BRIP1	17	61780260	61780402	0.315108	3	duplication	0.978046
17324	BRIP1	17	61793596	61793730	-0.562483	1	deletion	0.993229
17324	BRIP1	17	61799099	61799300	-0.753103	1	deletion	0.988856
17324	BRIP1	17	61808466	61808758	-0.437669	1	deletion	0.987331
17324	SMAD4	18	51054780	51054994	-0.435247	1	deletion	0.992979
17325	NF1	17	31358968	31359016	0.320106	3	duplication	0.948475
17326	HNF1A	12	120993519	120993707	-0.526473	1	deletion	0.782668
17326	BRCA1	17	43049120	43049195	-1.06838	1	deletion	0.984346
17328	MUTYH	1	45331419	45331557	-0.490758	1	deletion	0.8002
17328	PMS2	7	5978595	5978697	0.419762	3	duplication	0.859582
17328	HNF1A	12	120993519	120993707	-0.508458	1	deletion	0.7825
17328	TP53	17	7670608	7670716	-0.412368	1	deletion	0.96847
17330	BMPR1A	10	86756627	86756931	0.41838	3	duplication	0.843503
17331	PMS2	7	5995533	5995634	-0.872396	1	deletion	0.983419
17331	PMS2	7	5997325	5997424	-0.942482	1	deletion	0.986197
17331	PMS2	7	5999107	5999276	-1.0119	1	deletion	0.992846
17331	BMPR1A	10	86756627	86756931	0.421735	3	duplication	0.843185
17332	EPCAM	2	47369505	47369582	0.411354	3	duplication	0.851396
17332	PMS2	7	5977587	5977758	0.342543	3	duplication	0.88523
17332	PMS2	7	5978595	5978697	0.413594	3	duplication	0.859766
17332	BMPR1A	10	86756627	86756931	0.539754	3	duplication	0.843411
17332	CHEK2	22	28687896	28687987	0.703224	4	duplication	0.975425
