CHR	START	STOP	GENE	NUMBER_OF_TARGETS	NUMBER_OF_TARGETS_PASS_SHAPIRO.WILK_TEST	ABBERATION	CNV.type
4	54709423	54709540	KIT	1	0	DUP	duplication
4	54725856	54737281	KIT	12	0	DEL	deletion
5	112737876	112737937	APC	1	0	DUP	duplication
5	112754890	112780904	APC	5	0	DEL	deletion
5	112801278	112828973	APC	7	1	DEL	deletion
5	112837552	112844127	APC	1	0	DEL	deletion
5	177204119	177204293	NSD1	1	0	DEL	deletion
5	177235820	177235946	NSD1	1	0	DEL	deletion
5	177246677	177246797	NSD1	1	0	DEL	deletion
5	177256950	177257152	NSD1	1	0	DUP	duplication
5	177269601	177269808	NSD1	1	0	DEL	deletion
5	177293831	177295460	NSD1	1	0	DUP	duplication
6	35455746	35456354	FANCE	1	0	DUP	duplication
6	35458296	35458441	FANCE	1	1	DUP	duplication
6	35459681	35462915	FANCE	3	2	DUP	duplication
7	5973398	5973543	PMS2	1	1	DUP	duplication
7	5978595	5982992	PMS2	2	0	DUP	duplication
7	5989799	5992058	PMS2	2	0	DUP	duplication
7	5999107	5999276	PMS2	1	1	DUP	duplication
7	6003689	6003793	PMS2	1	1	DEL	deletion
7	6008996	6009020	PMS2	1	0	DUP	duplication
7	55142285	55142438	EGFR	1	0	DEL	deletion
7	55146605	55146741	EGFR	1	1	DUP	duplication
7	55155829	55157754	EGFR	4	1	DUP	duplication
7	55163732	55163824	EGFR	1	1	DUP	duplication
7	55171174	55174044	EGFR	3	1	DUP	duplication
7	55181292	55192842	EGFR	3	2	DUP	duplication
7	55198716	55198864	EGFR	1	0	DEL	deletion
7	55201734	55205618	EGFR	3	1	DUP	duplication
7	66991136	66991302	SBDS	1	0	DUP	duplication
7	116699084	116796125	MET	20	2	DEL	deletion
7	148810332	148810415	EZH2	1	0	DUP	duplication
7	148814913	148847299	EZH2	13	4	DEL	deletion
8	31064288	31068328	WRN	4	1	DEL	deletion
8	31080866	31081297	WRN	1	0	DEL	deletion
8	31087775	31173103	WRN	24	6	DEL	deletion
8	89935581	89946296	NBN	4	0	DEL	deletion
8	89953243	89982856	NBN	10	3	DEL	deletion
8	117804721	117804894	EXT1	1	0	DEL	deletion
8	117819675	117819795	EXT1	1	0	DUP	duplication
8	117822464	117837202	EXT1	4	0	DEL	deletion
8	118110084	118111047	EXT1	1	0	DUP	duplication
8	144511430	144517636	RECQL4	20	2	DUP	duplication
9	21968228	21971209	CDKN2A	2	1	DUP	duplication
9	95101706	95114711	FANCC	4	2	DUP	duplication
9	95171078	95249292	FANCC	5	1	DEL	deletion
9	95446911	95456414	PTCH1	5	1	DUP	duplication
9	95459599	95461999	PTCH1	2	0	DUP	duplication
9	95468750	95469154	PTCH1	1	1	DUP	duplication
9	95476033	95478187	PTCH1	4	2	DUP	duplication
9	95478999	95485875	PTCH1	6	4	DEL	deletion
9	95506406	95516821	PTCH1	2	1	DUP	duplication
9	97675438	97693760	XPA	5	3	DEL	deletion
9	132911001	132925740	TSC1	7	4	DEL	deletion
9	132928766	132928873	TSC1	1	1	DUP	duplication
9	132944531	132944633	TSC1	1	0	DUP	duplication
10	43100458	43100723	RET	1	0	DUP	duplication
10	43104951	43112964	RET	6	2	DUP	duplication
10	43114479	43119746	RET	4	0	DUP	duplication
10	43121945	43126723	RET	4	1	DUP	duplication
10	70598052	70600903	PRF1	2	0	DUP	duplication
10	86890061	86890225	BMPR1A	1	1	DEL	deletion
10	86912239	86912385	BMPR1A	1	0	DEL	deletion
10	86921519	86923720	BMPR1A	3	2	DEL	deletion
10	87864469	87864549	PTEN	1	0	DUP	duplication
10	87894024	87965473	PTEN	8	0	DEL	deletion
10	102593992	102630156	SUFU	7	3	DUP	duplication
11	532635	534323	HRAS	4	0	DUP	duplication
11	32399947	32400045	WT1	1	1	DUP	duplication
11	32417576	32417655	WT1	1	0	DEL	deletion
11	32428496	32428620	WT1	1	0	DUP	duplication
11	44096252	44108249	EXT2	2	0	DUP	duplication
11	44109193	44109284	EXT2	1	1	DEL	deletion
11	44124788	44124985	EXT2	1	0	DEL	deletion
11	44130044	44234244	EXT2	6	2	DEL	deletion
11	47215136	47232960	DDB2	4	0	DUP	duplication
11	47234756	47235413	DDB2	2	1	DUP	duplication
11	47238799	47238850	DDB2	1	0	DUP	duplication
11	64804333	64807099	MEN1	5	0	DUP	duplication
11	64807551	64810110	MEN1	3	0	DUP	duplication
11	67487005	67491108	AIP	5	0	DUP	duplication
11	95799231	95799389	CEP57	1	0	DEL	deletion
11	95817786	95817904	CEP57	1	1	DUP	duplication
11	95818826	95831257	CEP57	6	1	DEL	deletion
11	108227624	108257607	ATM	14	3	DEL	deletion
11	108272531	108297383	ATM	13	5	DEL	deletion
11	108301647	108316114	ATM	8	1	DEL	deletion
11	108319953	108327759	ATM	5	0	DEL	deletion
11	108330213	108330422	ATM	1	0	DEL	deletion
11	108332761	108365219	ATM	10	1	DEL	deletion
12	12717828	12718326	CDKN1B	1	0	DUP	duplication
12	12721024	12722383	CDKN1B	1	0	DEL	deletion
12	57748524	57748618	CDK4	1	0	DUP	duplication
12	57750655	57750766	CDK4	1	1	DUP	duplication
12	57751206	57752533	CDK4	3	0	DUP	duplication
12	120988832	120989033	HNF1A	1	1	DUP	duplication
12	120994163	120999628	HNF1A	6	1	DUP	duplication
12	132673652	132673676	POLE_L424V	1	1	DUP	duplication
13	32329442	32355289	BRCA2	7	0	DEL	deletion
13	32362522	32371101	BRCA2	4	1	DEL	deletion
13	32379316	32379516	BRCA2	1	0	DEL	deletion
13	32394688	32394934	BRCA2	1	0	DEL	deletion
13	32398161	32398771	BRCA2	1	0	DEL	deletion
13	48307279	48364972	RB1	8	2	DEL	deletion
13	48373404	48373493	RB1	1	0	DEL	deletion
13	48379593	48379651	RB1	1	0	DUP	duplication
13	48381246	48453112	RB1	2	0	DEL	deletion
13	48463730	48463836	RB1	1	0	DEL	deletion
13	48473359	48480072	RB1	4	1	DEL	deletion
13	102846266	102846355	ERCC5	1	0	DUP	duplication
13	102853756	102853873	ERCC5	1	0	DEL	deletion
13	102858274	102858419	ERCC5	1	0	DEL	deletion
13	102866631	102866846	ERCC5	1	0	DUP	duplication
13	102868112	102868258	ERCC5	1	1	DEL	deletion
13	102873258	102873344	ERCC5	1	1	DEL	deletion
14	45137068	45137242	FANCM	1	0	DEL	deletion
14	45148836	45200009	FANCM	20	3	DEL	deletion
14	65076475	65078037	MAX	2	2	DUP	duplication
14	65093707	65093816	MAX	1	0	DEL	deletion
14	65101545	65101573	MAX	1	0	DUP	duplication
14	95090497	95091366	DICER1	3	0	DEL	deletion
14	95095824	95106224	DICER1	6	0	DEL	deletion
14	95107879	95133459	DICER1	15	1	DEL	deletion
15	40165052	40206459	BUB1B	14	3	DEL	deletion
15	40208636	40208771	BUB1B	1	0	DUP	duplication
15	40217495	40217668	BUB1B	1	1	DEL	deletion
15	89247647	89293998	FANCI	22	1	DEL	deletion
15	89299799	89303916	FANCI	4	2	DEL	deletion
15	90749366	90767024	BLM	8	3	DEL	deletion
15	90769132	90769232	BLM	1	1	DUP	duplication
15	90809136	90809260	BLM	1	1	DUP	duplication
16	2048615	2077727	TSC2	25	8	DUP	duplication
16	2079556	2088611	TSC2	14	2	DUP	duplication
16	3582341	3602308	SLX4	12	2	DUP	duplication
16	13920165	13920373	ERCC4	1	0	DUP	duplication
16	13922030	13944836	ERCC4	9	2	DEL	deletion
16	23634861	23636335	PALB2	1	0	DEL	deletion
16	23641109	23641158	PALB2	1	1	DUP	duplication
16	50749698	50784452	CYLD	10	2	DEL	deletion
16	50787785	50792706	CYLD	3	2	DEL	deletion
16	50796323	50796509	CYLD	1	1	DEL	deletion
16	68808423	68808568	CDH1	1	0	DEL	deletion
16	68810196	68810342	CDH1	1	1	DUP	duplication
16	68813312	68813496	CDH1	1	1	DUP	duplication
16	68829653	68829798	CDH1	1	1	DUP	duplication
16	89738600	89740100	FANCA	5	1	DUP	duplication
16	89742799	89748768	FANCA	5	3	DUP	duplication
16	89752137	89758706	FANCA	2	1	DUP	duplication
16	89764889	89767238	FANCA	2	0	DUP	duplication
16	89770165	89783103	FANCA	10	7	DUP	duplication
16	89791402	89799639	FANCA	6	4	DUP	duplication
16	89805279	89808368	FANCA	2	0	DUP	duplication
16	89814519	89815987	FANCA	2	0	DUP	duplication
17	7673534	7673609	TP53	1	0	DUP	duplication
17	7674180	7675237	TP53	3	0	DUP	duplication
17	7687365	7687550	TP53	1	0	DUP	duplication
17	17213654	17232913	FLCN	13	2	DUP	duplication
17	31095309	31095370	NF1	1	0	DUP	duplication
17	31155982	31265340	NF1	35	3	DEL	deletion
17	31330295	31374156	NF1	20	1	DEL	deletion
17	35103453	35103545	RAD51D	1	1	DUP	duplication
17	35118500	35119614	RAD51D	3	0	DUP	duplication
17	43063873	43063952	BRCA1	1	0	DEL	deletion
17	43067607	43067696	BRCA1	1	0	DUP	duplication
17	43070927	43094861	BRCA1	6	3	DEL	deletion
17	43104867	43104957	BRCA1	1	0	DEL	deletion
17	43125259	43125382	BRCA1	1	0	DUP	duplication
17	58724039	58724101	RAD51C	1	0	DEL	deletion
17	60662994	60663553	PPM1D	1	0	DEL	deletion
17	61683295	61861540	BRIP1	19	4	DEL	deletion
17	68515399	68530450	PRKAR1A	10	1	DEL	deletion
17	76471632	76477025	RHBDF2	11	3	DUP	duplication
17	76477656	76477786	RHBDF2	1	0	DUP	duplication
17	76479081	76481525	RHBDF2	3	2	DUP	duplication
18	51030201	51030635	SMAD4	1	1	DUP	duplication
18	51047046	51065607	SMAD4	8	2	DEL	deletion
18	51076637	51076777	SMAD4	1	0	DUP	duplication
18	51078255	51078468	SMAD4	1	0	DEL	deletion
19	1218416	1228447	STK11	9	5	DUP	duplication
19	45352505	45352650	ERCC2	1	1	DUP	duplication
19	45353241	45355729	ERCC2	3	0	DUP	duplication
19	45357629	45357700	ERCC2	1	1	DUP	duplication
19	45363742	45365159	ERCC2	6	0	DUP	duplication
19	45368929	45368993	ERCC2	1	1	DUP	duplication
19	45370535	45370541	ERCC2	1	0	DUP	duplication
19	50406432	50406456	POLD1_L474P	1	0	DUP	duplication
19	50406444	50406468	POLD1_S478N	1	0	DUP	duplication
21	34792134	34792611	RUNX1	1	0	DUP	duplication
21	34799300	34799463	RUNX1	1	1	DEL	deletion
21	34834409	34834602	RUNX1	1	1	DUP	duplication
21	34880556	34880714	RUNX1	1	0	DEL	deletion
21	34886842	34887097	RUNX1	1	1	DUP	duplication
21	34892924	34892964	RUNX1	1	0	DEL	deletion
21	35048841	35048900	RUNX1	1	0	DUP	duplication
22	23791755	23803423	SMARCB1	4	3	DUP	duplication
22	23825224	23834181	SMARCB1	3	1	DUP	duplication
22	28687896	28687987	CHEK2	1	1	DUP	duplication
22	28711908	28712018	CHEK2	1	0	DEL	deletion
22	28741757	28741856	CHEK2	1	0	DUP	duplication
22	29673268	29673487	NF2	1	0	DUP	duplication
22	29694751	29694803	NF2	1	0	DUP	duplication
X	14843566	14853168	FANCB	5	1	DEL	deletion
X	14859181	14865511	FANCB	2	0	DEL	deletion
X	133596439	133953212	GPC3	6	0	DEL	deletion
