CHR	START	STOP	GENE	NUMBER_OF_TARGETS	NUMBER_OF_TARGETS_PASS_SHAPIRO.WILK_TEST	ABBERATION	CNV.type
17	35103453	35103545	RAD51D	1	1	DUP	duplication
17	35103453	35103545	RAD51D	1	1	HOM_DUP	
17	35107365	35119614	RAD51D	4	4	DUP	duplication
17	43063873	43063952	BRCA1	1	1	DEL	deletion
17	43076487	43094861	BRCA1	4	1	DEL	deletion
17	43125259	43125382	BRCA1	1	1	DUP	duplication
17	58709858	58709991	RAD51C	1	1	DUP	duplication
17	58724039	58724101	RAD51C	1	1	DEL	deletion
17	61683295	61861540	BRIP1	19	17	DEL	deletion
17	61863272	61863406	BRIP1	1	1	DUP	duplication
18	51047046	51065607	SMAD4	8	6	DEL	deletion
18	51076637	51076777	SMAD4	1	1	DUP	duplication
18	51078255	51078468	SMAD4	1	1	DEL	deletion
19	1206913	1228447	STK11	10	8	DUP	duplication
19	1218416	1228447	STK11	9	7	HOM_DUP	
19	50406432	50406456	POLD1_L474P	1	1	DUP	duplication
19	50406432	50406456	POLD1_L474P	1	1	HOM_DUP	
19	50406444	50406468	POLD1_S478N	1	1	DUP	duplication
19	50406444	50406468	POLD1_S478N	1	1	HOM_DUP	
22	28687896	28687987	CHEK2	1	1	DUP	duplication
22	28711908	28712018	CHEK2	1	1	DEL	deletion
22	28724976	28741856	CHEK2	4	4	DUP	duplication
