V10	V11	V12	V13	V4	V6	V8	V9	ID	cnvkit5	convading	decon	exomedepth	manta	panelcn
7	5991972	5992058	PMS2	17341	Exon 9-10 deletion	Deletion	Multi	88	1	1	1	1	0	1
7	5989799	5989956	PMS2	17379	Exon 9-10 deletion	Deletion	Multi	89	1	1	1	1	0	1
7	5991972	5992058	PMS2	17379	Exon 9-10 deletion	Deletion	Multi	90	1	1	1	1	0	1
7	5995533	5995634	PMS2	17331	Exon 6-8 deletion	Deletion	Multi	91	1	1	1	1	0	1
7	5997325	5997424	PMS2	17331	Exon 6-8 deletion	Deletion	Multi	92	1	1	1	1	0	1
7	5999107	5999276	PMS2	17331	Exon 6-8 deletion	Deletion	Multi	93	1	1	1	1	0	1
10	87864469	87864549	PTEN	17392	Exon 1 deletion	Deletion	Single	94	1	1	1	1	0	1
11	108365081	108365219	ATM	17334	Exon 62-63 duplication	Duplication	Multi	95	1	1	1	1	0	1
11	108365324	108365509	ATM	17334	Exon 62-63 duplication	Duplication	Multi	96	1	1	1	1	0	1
11	108365081	108365219	ATM	17377	Exon 62-63 duplication	Duplication	Multi	97	1	1	1	1	0	1
11	108365324	108365509	ATM	17377	Exon 62-63 duplication	Duplication	Multi	98	1	1	1	1	0	1
13	32315462	32315679	BRCA2	17342	Exon 1-11 deletion	Deletion	Multi	99	1	1	1	1	0	1
13	32316460	32316528	BRCA2	17342	Exon 1-11 deletion	Deletion	Multi	100	0	1	1	1	0	0
13	32319076	32319326	BRCA2	17342	Exon 1-11 deletion	Deletion	Multi	101	1	1	1	1	0	1
13	32325075	32325185	BRCA2	17342	Exon 1-11 deletion	Deletion	Multi	102	1	1	1	1	0	1
13	32326100	32326151	BRCA2	17342	Exon 1-11 deletion	Deletion	Multi	103	1	1	1	1	0	1
13	32326241	32326283	BRCA2	17342	Exon 1-11 deletion	Deletion	Multi	104	1	1	1	1	0	1
13	32326498	32326614	BRCA2	17342	Exon 1-11 deletion	Deletion	Multi	105	1	1	1	1	0	1
13	32329442	32329493	BRCA2	17342	Exon 1-11 deletion	Deletion	Multi	106	0	1	1	1	0	1
13	32330918	32331031	BRCA2	17342	Exon 1-11 deletion	Deletion	Multi	107	0	1	1	1	0	0
13	32332271	32333388	BRCA2	17342	Exon 1-11 deletion	Deletion	Multi	108	1	1	1	1	0	1
13	32336264	32341197	BRCA2	17342	Exon 1-11 deletion	Deletion	Multi	109	1	1	1	1	0	1
13	32315462	32315679	BRCA2	17393	Exon 1-2 deletion	Deletion	Multi	110	1	1	1	1	0	1
13	32316460	32316528	BRCA2	17393	Exon 1-2 deletion	Deletion	Multi	111	1	1	1	1	0	1
13	32315462	32315679	BRCA2	17380	Exon 1-3 duplication	Duplication	Multi	112	1	1	1	1	0	1
13	32316460	32316528	BRCA2	17380	Exon 1-3 duplication	Duplication	Multi	113	1	1	1	1	0	1
13	32319076	32319326	BRCA2	17380	Exon 1-3 duplication	Duplication	Multi	114	1	1	1	1	0	1
13	32316460	32316528	BRCA2	17402	Exon 2 deletion	Deletion	Single	115	1	1	1	1	1	1
13	32319076	32319326	BRCA2	17305	Exon 3 deletion	Deletion	Single	116	1	1	1	1	0	1
13	32329442	32329493	BRCA2	17322	Exon 8-10 deletion	Deletion	Multi	117	1	1	1	1	0	1
13	32330918	32331031	BRCA2	17322	Exon 8-10 deletion	Deletion	Multi	118	1	1	1	1	0	1
13	32332271	32333388	BRCA2	17322	Exon 8-10 deletion	Deletion	Multi	119	1	1	1	1	0	1
13	32354860	32355289	BRCA2	17335	Exon 14-16 deletion	Deletion	Multi	120	1	1	1	1	0	1
13	32356427	32356610	BRCA2	17335	Exon 14-16 deletion	Deletion	Multi	121	1	1	1	1	0	1
13	32357741	32357930	BRCA2	17335	Exon 14-16 deletion	Deletion	Multi	122	1	1	1	1	0	1
13	32376669	32376792	BRCA2	17357	Exon 21-24 deletion	Deletion	Multi	123	1	1	1	1	0	1
13	32379316	32379516	BRCA2	17357	Exon 21-24 deletion	Deletion	Multi	124	1	1	1	1	0	1
13	32379749	32379914	BRCA2	17357	Exon 21-24 deletion	Deletion	Multi	125	1	1	1	1	0	1
13	32380006	32380146	BRCA2	17357	Exon 21-24 deletion	Deletion	Multi	126	1	1	1	1	0	1
13	32376669	32376792	BRCA2	17364	Exon 21 duplication	Duplication	Single	127	1	1	1	1	1	1
13	32376669	32376792	BRCA2	17298	Exon 21 duplication	Duplication	Single	128	1	0	0	0	1	1
13	48473359	48473391	RB1	17336	Exon 24-27 deletion	Deletion	Multi	129	1	1	1	1	0	1
13	48476700	48476844	RB1	17336	Exon 24-27 deletion	Deletion	Multi	130	1	1	1	1	0	1
13	48477354	48477405	RB1	17336	Exon 24-27 deletion	Deletion	Multi	131	1	1	1	1	0	1
13	48479997	48480072	RB1	17336	Exon 24-27 deletion	Deletion	Multi	132	1	1	1	1	0	1
16	23603458	23603670	PALB2	17304	Exon 13 deletion	Deletion	Single	133	1	1	1	1	0	1
17	7669608	7669691	TP53	17324	Exon 1-11 deletion	Deletion	Multi	134	1	1	1	1	0	1
17	7670608	7670716	TP53	17324	Exon 1-11 deletion	Deletion	Multi	135	1	1	1	1	0	1
17	7673534	7673609	TP53	17324	Exon 1-11 deletion	Deletion	Multi	136	1	1	1	1	0	1
17	7673700	7673838	TP53	17324	Exon 1-11 deletion	Deletion	Multi	137	1	1	1	1	0	1
17	7674180	7674291	TP53	17324	Exon 1-11 deletion	Deletion	Multi	138	1	1	1	1	0	1
17	7674858	7674972	TP53	17324	Exon 1-11 deletion	Deletion	Multi	139	1	1	1	1	0	1
17	7675052	7675237	TP53	17324	Exon 1-11 deletion	Deletion	Multi	140	1	1	1	1	0	1
17	7675993	7676273	TP53	17324	Exon 1-11 deletion	Deletion	Multi	141	1	1	1	1	0	1
17	7676381	7676404	TP53	17324	Exon 1-11 deletion	Deletion	Multi	142	1	1	1	1	0	1
17	7676520	7676595	TP53	17324	Exon 1-11 deletion	Deletion	Multi	143	1	1	1	1	0	1
17	7687365	7687550	TP53	17324	Exon 1-11 deletion	Deletion	Multi	144	1	1	1	1	0	1
17	7675052	7675237	TP53	17396	Exon 1-5 deletion	Deletion	Multi	145	0	1	1	1	1	0
17	7675993	7676273	TP53	17396	Exon 1-5 deletion	Deletion	Multi	146	1	1	1	1	1	1
17	7676381	7676404	TP53	17396	Exon 1-5 deletion	Deletion	Multi	147	1	1	1	1	1	1
17	7676520	7676595	TP53	17396	Exon 1-5 deletion	Deletion	Multi	148	1	1	1	1	1	1
17	7687365	7687550	TP53	17396	Exon 1-5 deletion	Deletion	Multi	149	1	1	1	1	1	1
17	7687365	7687550	TP53	17365	Exon 1 deletion	Deletion	Single	150	1	1	1	1	0	1
17	31327498	31327840	NF1	17338	Exon 37-57 deletion	Deletion	Multi	151	1	1	1	1	0	1
17	31330295	31330499	NF1	17338	Exon 37-57 deletion	Deletion	Multi	152	1	1	1	1	0	1
17	31334837	31335032	NF1	17338	Exon 37-57 deletion	Deletion	Multi	153	1	1	1	1	0	1
17	31336332	31336474	NF1	17338	Exon 37-57 deletion	Deletion	Multi	154	1	1	1	1	0	1
17	31336634	31336915	NF1	17338	Exon 37-57 deletion	Deletion	Multi	155	1	1	1	1	0	1
17	31337367	31337583	NF1	17338	Exon 37-57 deletion	Deletion	Multi	156	1	1	1	1	0	1
17	31337818	31337881	NF1	17338	Exon 37-57 deletion	Deletion	Multi	157	1	1	1	1	0	1
17	31338024	31338140	NF1	17338	Exon 37-57 deletion	Deletion	Multi	158	1	1	1	1	0	1
17	31338703	31338806	NF1	17338	Exon 37-57 deletion	Deletion	Multi	159	1	1	1	1	0	1
17	31340504	31340646	NF1	17338	Exon 37-57 deletion	Deletion	Multi	160	1	1	1	1	0	1
17	31343008	31343136	NF1	17338	Exon 37-57 deletion	Deletion	Multi	161	1	1	1	1	0	1
17	31349119	31349252	NF1	17338	Exon 37-57 deletion	Deletion	Multi	162	1	1	1	1	0	1
17	31350182	31350319	NF1	17338	Exon 37-57 deletion	Deletion	Multi	163	1	1	1	1	0	1
17	31352256	31352415	NF1	17338	Exon 37-57 deletion	Deletion	Multi	164	1	1	1	1	0	1
17	31356459	31356583	NF1	17338	Exon 37-57 deletion	Deletion	Multi	165	1	1	1	1	0	1
17	31356959	31357091	NF1	17338	Exon 37-57 deletion	Deletion	Multi	166	1	1	1	1	0	1
17	31357268	31357370	NF1	17338	Exon 37-57 deletion	Deletion	Multi	167	1	1	1	1	0	1
17	31358479	31358623	NF1	17338	Exon 37-57 deletion	Deletion	Multi	168	1	1	1	1	0	1
17	31360486	31360704	NF1	17338	Exon 37-57 deletion	Deletion	Multi	169	1	1	1	1	0	1
17	31358968	31359016	NF1	17338	Exon 37-57 deletion	Deletion	Multi	170	1	1	1	1	0	1
17	31325819	31326253	NF1	17338	Exon 37-57 deletion	Deletion	Multi	171	1	1	1	1	0	1
17	43045677	43045803	BRCA1	17400	Exon 21-24 deletion	Deletion	Multi	172	1	1	1	1	0	1
17	43047642	43047704	BRCA1	17400	Exon 21-24 deletion	Deletion	Multi	173	1	1	1	1	0	1
17	43049120	43049195	BRCA1	17400	Exon 21-24 deletion	Deletion	Multi	174	1	1	1	1	0	1
17	43051062	43051118	BRCA1	17400	Exon 21-24 deletion	Deletion	Multi	175	1	1	1	1	0	1
17	43045677	43045803	BRCA1	17320	Exon 24 deletion	Deletion	Single	176	1	1	1	1	0	1
17	43049120	43049195	BRCA1	17326	Exon 22 deletion	Deletion	Single	177	1	1	1	1	0	1
17	43057051	43057136	BRCA1	17306	Exon 20 deletion	Deletion	Single	178	1	1	1	1	0	1
17	43057051	43057136	BRCA1	17371	Exon 20 deletion	Deletion	Single	179	1	1	1	1	0	1
17	43067607	43067696	BRCA1	17403	Exon 17 deletion	Deletion	Single	180	1	1	1	1	0	1
17	43070927	43071239	BRCA1	17369	Exon 16 deletion	Deletion	Single	181	1	1	1	1	0	1
17	43082403	43082576	BRCA1	17398	Exon 13 duplication	Duplication	Single	182	1	1	1	1	0	1
17	43082403	43082576	BRCA1	17362	Exon 13 duplication	Duplication	Single	183	1	1	1	1	0	1
17	43082403	43082576	BRCA1	17333	Exon 13 deletion	Deletion	Single	184	1	1	1	1	0	1
17	43090943	43091033	BRCA1	17384	Exon 12 deletion	Deletion	Single	185	1	1	1	1	1	1
17	43099774	43099881	BRCA1	17340	Exon 5-8 duplication	Duplication	Multi	186	1	1	1	1	0	1
17	43104121	43104262	BRCA1	17340	Exon 5-8 duplication	Duplication	Multi	187	1	1	1	1	0	1
17	43104867	43104957	BRCA1	17340	Exon 5-8 duplication	Duplication	Multi	188	1	1	1	1	0	1
17	43106455	43106534	BRCA1	17340	Exon 5-8 duplication	Duplication	Multi	189	1	1	1	1	0	1
17	43104121	43104262	BRCA1	17302	Exon 5-7 deletion	Deletion	Multi	190	1	1	1	1	0	1
17	43104867	43104957	BRCA1	17302	Exon 5-7 deletion	Deletion	Multi	191	1	1	1	1	0	1
17	43106455	43106534	BRCA1	17302	Exon 5-7 deletion	Deletion	Multi	192	1	1	1	1	0	1
17	43115725	43115780	BRCA1	17317	Exon 3 deletion	Deletion	Single	193	1	1	1	1	0	1
17	43124016	43124097	BRCA1	17394	Exon 1-2 deletion	Deletion	Multi	194	1	1	0	0	0	1
17	43125259	43125382	BRCA1	17394	Exon 1-2 deletion	Deletion	Multi	195	1	0	0	0	0	0
17	58703195	58703330	RAD51C	17388	Exon 4-9 deletion	Deletion	Multi	196	1	1	1	1	0	1
17	58709858	58709991	RAD51C	17388	Exon 4-9 deletion	Deletion	Multi	197	1	1	1	1	0	1
17	58720745	58720813	RAD51C	17388	Exon 4-9 deletion	Deletion	Multi	198	1	1	1	1	0	1
17	58724039	58724101	RAD51C	17388	Exon 4-9 deletion	Deletion	Multi	199	1	1	1	1	0	1
17	58732483	58732545	RAD51C	17388	Exon 4-9 deletion	Deletion	Multi	200	1	1	1	1	0	1
17	58734117	58734223	RAD51C	17388	Exon 4-9 deletion	Deletion	Multi	201	1	1	1	1	0	1
22	28687896	28687987	CHEK2	17375	Exon 3-15 duplication	Duplication	Multi	202	1	1	1	1	0	1
22	28689134	28689216	CHEK2	17375	Exon 3-15 duplication	Duplication	Multi	203	1	1	1	1	0	1
22	28694031	28694118	CHEK2	17375	Exon 3-15 duplication	Duplication	Multi	204	1	1	1	1	0	1
22	28695126	28695243	CHEK2	17375	Exon 3-15 duplication	Duplication	Multi	205	1	1	1	1	0	1
22	28695709	28695874	CHEK2	17375	Exon 3-15 duplication	Duplication	Multi	206	1	1	1	1	0	1
22	28696900	28696988	CHEK2	17375	Exon 3-15 duplication	Duplication	Multi	207	1	1	1	1	0	1
22	28699837	28699938	CHEK2	17375	Exon 3-15 duplication	Duplication	Multi	208	1	1	1	1	0	1
22	28703504	28703567	CHEK2	17375	Exon 3-15 duplication	Duplication	Multi	209	1	1	1	1	0	1
22	28710005	28710060	CHEK2	17375	Exon 3-15 duplication	Duplication	Multi	210	1	1	1	1	0	1
22	28711908	28712018	CHEK2	17375	Exon 3-15 duplication	Duplication	Multi	211	1	1	1	1	0	1
22	28719394	28719486	CHEK2	17375	Exon 3-15 duplication	Duplication	Multi	212	1	1	1	1	0	1
22	28724976	28725125	CHEK2	17375	Exon 3-15 duplication	Duplication	Multi	213	1	1	1	1	0	1
22	28725242	28725368	CHEK2	17375	Exon 3-15 duplication	Duplication	Multi	214	1	1	1	1	0	1
22	28687896	28687987	CHEK2	17332	Exon 3-15 duplication	Duplication	Multi	215	1	1	1	1	0	1
22	28689134	28689216	CHEK2	17332	Exon 3-15 duplication	Duplication	Multi	216	1	1	1	1	0	1
22	28694031	28694118	CHEK2	17332	Exon 3-15 duplication	Duplication	Multi	217	1	0	1	1	0	1
22	28695126	28695243	CHEK2	17332	Exon 3-15 duplication	Duplication	Multi	218	1	1	1	1	0	1
22	28695709	28695874	CHEK2	17332	Exon 3-15 duplication	Duplication	Multi	219	1	0	1	1	0	1
22	28696900	28696988	CHEK2	17332	Exon 3-15 duplication	Duplication	Multi	220	1	1	1	1	0	1
22	28699837	28699938	CHEK2	17332	Exon 3-15 duplication	Duplication	Multi	221	1	1	1	1	0	1
22	28703504	28703567	CHEK2	17332	Exon 3-15 duplication	Duplication	Multi	222	1	1	1	1	0	1
22	28710005	28710060	CHEK2	17332	Exon 3-15 duplication	Duplication	Multi	223	1	1	1	1	0	1
22	28711908	28712018	CHEK2	17332	Exon 3-15 duplication	Duplication	Multi	224	1	1	1	1	0	1
22	28719394	28719486	CHEK2	17332	Exon 3-15 duplication	Duplication	Multi	225	1	1	1	1	0	1
22	28724976	28725125	CHEK2	17332	Exon 3-15 duplication	Duplication	Multi	226	1	1	1	1	0	1
22	28725242	28725368	CHEK2	17332	Exon 3-15 duplication	Duplication	Multi	227	1	1	1	1	0	1
22	28695126	28695243	CHEK2	17378	Exon 8-12 deletion	Deletion	Multi	228	1	1	1	1	0	1
22	28695709	28695874	CHEK2	17378	Exon 8-12 deletion	Deletion	Multi	229	1	1	1	1	0	1
22	28696900	28696988	CHEK2	17378	Exon 8-12 deletion	Deletion	Multi	230	1	1	1	1	0	1
22	28699837	28699938	CHEK2	17378	Exon 8-12 deletion	Deletion	Multi	231	1	1	1	1	0	1
22	28703504	28703567	CHEK2	17378	Exon 8-12 deletion	Deletion	Multi	232	1	1	1	1	0	1
22	28696900	28696988	CHEK2	17363	Exon 9-10 deletion	Deletion	Multi	233	1	1	1	1	0	1
22	28699837	28699938	CHEK2	17363	Exon 9-10 deletion	Deletion	Multi	234	1	1	1	1	0	1
22	28724976	28725125	CHEK2	17307	Exon 3-4 deletion	Deletion	Multi	235	1	1	1	1	0	1
22	28725242	28725368	CHEK2	17307	Exon 3-4 deletion	Deletion	Multi	236	1	1	1	1	0	1
